date,region,daily_ed_visits,departments_reporting
16-12-2017,Auvergne et Rhône-Alpes,7131,12
17-12-2017,Auvergne et Rhône-Alpes,6713,12
18-12-2017,Auvergne et Rhône-Alpes,7520,12
19-12-2017,Auvergne et Rhône-Alpes,7108,12
20-12-2017,Auvergne et Rhône-Alpes,6954,12
21-12-2017,Auvergne et Rhône-Alpes,7068,12
22-12-2017,Auvergne et Rhône-Alpes,7264,12
23-12-2017,Auvergne et Rhône-Alpes,7692,12
24-12-2017,Auvergne et Rhône-Alpes,6745,12
25-12-2017,Auvergne et Rhône-Alpes,6919,12
26-12-2017,Auvergne et Rhône-Alpes,9180,12
27-12-2017,Auvergne et Rhône-Alpes,8423,12
28-12-2017,Auvergne et Rhône-Alpes,8219,12
29-12-2017,Auvergne et Rhône-Alpes,8101,12
30-12-2017,Auvergne et Rhône-Alpes,8088,12
31-12-2017,Auvergne et Rhône-Alpes,7189,12
01-01-2018,Auvergne et Rhône-Alpes,7833,12
02-01-2018,Auvergne et Rhône-Alpes,8545,12
03-01-2018,Auvergne et Rhône-Alpes,7730,12
04-01-2018,Auvergne et Rhône-Alpes,7337,12
05-01-2018,Auvergne et Rhône-Alpes,7504,12
06-01-2018,Auvergne et Rhône-Alpes,7459,12
07-01-2018,Auvergne et Rhône-Alpes,6933,12
08-01-2018,Auvergne et Rhône-Alpes,7863,12
09-01-2018,Auvergne et Rhône-Alpes,7138,12
10-01-2018,Auvergne et Rhône-Alpes,7012,12
11-01-2018,Auvergne et Rhône-Alpes,7093,12
12-01-2018,Auvergne et Rhône-Alpes,7342,12
13-01-2018,Auvergne et Rhône-Alpes,7310,12
14-01-2018,Auvergne et Rhône-Alpes,7027,12
15-01-2018,Auvergne et Rhône-Alpes,8016,12
16-01-2018,Auvergne et Rhône-Alpes,7170,12
17-01-2018,Auvergne et Rhône-Alpes,6934,12
18-01-2018,Auvergne et Rhône-Alpes,7207,12
19-01-2018,Auvergne et Rhône-Alpes,7433,12
20-01-2018,Auvergne et Rhône-Alpes,7139,12
21-01-2018,Auvergne et Rhône-Alpes,6984,12
22-01-2018,Auvergne et Rhône-Alpes,8208,12
23-01-2018,Auvergne et Rhône-Alpes,7462,12
24-01-2018,Auvergne et Rhône-Alpes,7436,12
25-01-2018,Auvergne et Rhône-Alpes,7748,12
